technician_id,name,phone
T001,Technician 1,0550000001
T002,Technician 2,0550000002
T003,Technician 3,0550000003
T004,Technician 4,0550000004
T005,Technician 5,0550000005
T006,Technician 6,0550000006
T007,Technician 7,0550000007
T008,Technician 8,0550000008
T009,Technician 9,0550000009
T010,Technician 10,0550000010
T011,Technician 11,0550000011
T012,Technician 12,0550000012
T013,Technician 13,0550000013
T014,Technician 14,0550000014
T015,Technician 15,0550000015
T016,Technician 16,0550000016
T017,Technician 17,0550000017
T018,Technician 18,0550000018
T019,Technician 19,0550000019
T020,Technician 20,0550000020
T021,Technician 21,0550000021
T022,Technician 22,0550000022
T023,Technician 23,0550000023
T024,Technician 24,0550000024
T025,Technician 25,0550000025
T026,Technician 26,0550000026
T027,Technician 27,0550000027
T028,Technician 28,0550000028
T029,Technician 29,0550000029
T030,Technician 30,0550000030
T031,Technician 31,0550000031
T032,Technician 32,0550000032
T033,Technician 33,0550000033
T034,Technician 34,0550000034
T035,Technician 35,0550000035
T036,Technician 36,0550000036
T037,Technician 37,0550000037
T038,Technician 38,0550000038
T039,Technician 39,0550000039
T040,Technician 40,0550000040
T041,Technician 41,0550000041
T042,Technician 42,0550000042
T043,Technician 43,0550000043
T044,Technician 44,0550000044
T045,Technician 45,0550000045
T046,Technician 46,0550000046
T047,Technician 47,0550000047
T048,Technician 48,0550000048
T049,Technician 49,0550000049
T050,Technician 50,0550000050
